# ra, dec
0.722014, 6.897601
0.722663, 0.688890
0.723393, 1.439416
0.724962, -3.304868
0.725416, -1.381772
0.725610, 2.005248
0.727892, -0.278065
0.728023, 0.416448
0.728365, -0.623022
0.729014, -4.002782
0.729110, -3.456555
0.729202, -1.673296
0.731926, 2.833843
0.732916, 1.569179
0.732967, 8.105984
0.733012, -4.400594
0.734380, 4.312305
0.736300, -0.738289
0.736507, -0.143984
0.738525, -0.492415
0.739682, 1.079128
0.740126, 4.099072
0.740394, 4.495374
0.741287, 2.997755
0.741434, 2.810496
0.741712, 6.898817
0.742093, -1.024397
0.742300, 6.344521
0.742435, 4.712860
0.743519, -1.570225
0.744101, -3.252549
0.745076, 1.225734
0.745758, 7.055005
0.747022, -0.270772
0.747615, -1.189089
0.747751, -1.921447
0.748310, 1.575337
0.750113, 2.481118
0.752245, 3.040480
0.752277, 1.105327
0.752331, 0.855827
0.752725, -3.295972
0.754780, 5.562613
0.755717, 4.934429
0.755938, -2.228703
0.755978, -0.961621
0.756238, -3.187792
0.756773, -0.762760
0.756791, 4.449693
0.757281, 6.819666
0.757901, -3.905651
0.758390, 7.607782
0.758625, -2.979416
0.759009, -2.378121
0.759198, 6.678256
0.759281, -1.581048
0.759372, -0.199067
0.759855, -1.037133
0.761543, 0.936952
0.761817, 0.653271
0.762167, -4.536772
0.762584, -1.336019
0.763864, 0.172125
0.764922, 8.673015
0.765073, 1.062003
0.765207, -4.558239
0.765256, -1.895898
0.765730, 2.071332
0.765744, -2.983104
0.765829, 4.954371
0.766043, 0.579615
0.766662, 5.549855
0.769025, -4.638586
0.772171, 5.785696
0.775982, -0.825103
0.776666, 0.549089
0.776669, -2.270938
0.778846, -0.194039
0.783113, 0.912606
0.783142, 7.787327
0.784449, -3.013125
0.785247, -0.458494
0.786396, -0.802276
0.787535, 4.400050
0.787544, 3.008138
0.787642, -2.106928
0.788067, 0.453109
0.788193, -3.001292
0.788468, -5.486576
0.789558, -1.370266
0.790154, 0.243006
0.790828, -2.005410
0.790905, -0.710601
0.792079, -1.054706
0.792313, -0.674377
0.794804, -4.564636
0.794835, -1.507948
0.796194, 6.785079
0.796519, -1.962493
0.799012, -1.661345
0.800705, -0.910918
0.800796, -1.479577
0.802584, 0.682458
0.802992, -4.457891
0.803427, 6.261695
0.804311, -2.036166
0.804871, 2.195262
0.806551, 1.450584
0.806662, -2.656434
0.807736, -0.171604
0.808943, 6.401398
0.809686, -1.716330
0.810344, -2.412287
0.812515, 1.581033
0.812893, 6.896484
0.813454, 0.725110
0.813686, 0.039178
0.814662, 2.236520
0.815368, 0.326043
0.815645, -2.687737
0.815719, 2.686558
0.815744, 1.279035
0.815935, -0.974350
0.816031, 0.544104
0.816061, 6.225430
0.816198, 5.002471
0.817142, -4.374122
0.817691, -0.482592
0.817817, -0.921343
0.817975, -4.672692
0.817989, -0.363585
0.818301, -0.125681
0.820244, -1.776428
0.820786, 2.073051
0.820836, -3.818963
0.821269, 2.336008
0.821539, -0.198693
0.822710, -0.571434
0.823202, 6.862359
0.823541, -0.373413
0.823660, -1.905496
0.823969, 0.149663
0.824636, 0.646735
0.824848, 2.788361
0.825685, -2.415055
0.826265, 0.720793
0.828266, 0.356780
0.828502, 7.075432
0.829486, 6.353526
0.829619, -3.786785
0.831058, 1.463443
0.831175, -1.321011
0.831321, 4.224471
0.832369, -3.263076
0.832937, 6.266087
0.834139, -2.616821
0.835095, 0.105259
0.836007, -2.621707
0.840023, 4.431245
0.840072, -2.293807
0.840529, 6.900120
0.842770, -6.667358
0.842815, 5.441255
0.843581, -2.587072
0.843632, -2.014350
0.843941, 0.514321
0.844213, -0.494781
0.844505, -2.374096
0.846584, -4.254064
0.846996, 1.988510
0.847444, 1.542500
0.847544, 4.897359
0.849694, -1.062129
0.850630, 8.528072
0.851298, -4.644252
0.851466, 2.753083
0.853158, -4.545503
0.854533, 2.962919
0.854782, 1.715395
0.854838, -3.508647
0.855391, 6.601684
0.855630, 0.648353
0.855872, 2.032161
0.856104, -0.946313
0.856464, -1.007070
0.857248, 6.161224
0.858052, -4.285651
0.858366, 0.566630
0.858393, 2.326749
0.861123, 0.199221
0.861784, 1.887039
0.862581, 0.849928
0.863392, -1.519685
0.863526, -1.644990
0.863739, -3.503212
0.864666, 5.387288
0.864785, 2.624090
0.865858, -2.004520
0.866139, 6.834635
0.867484, -5.247081
0.869051, 3.844305
0.869400, -4.041655
0.870569, 3.875272
0.870736, -6.344753
0.872635, 2.838193
0.873945, 2.013131
0.874466, -2.563140
0.875775, 0.137015
0.875921, -4.531262
0.876308, 4.261228
0.876476, -1.046293
0.878382, 1.905197
0.880330, 2.554631
0.880358, -3.126240
0.880413, -1.478083
0.880711, 0.897747
0.883124, 5.683702
0.883242, 5.367919
0.883624, -0.734423
0.883705, -2.933685
0.884174, -4.170811
0.885006, 6.626566
0.885361, 8.619756
0.885929, -6.449107
0.887486, 4.307738
0.888145, -6.598304
0.888556, -0.745358
0.889105, 0.430207
0.891015, 8.120947
0.891678, 0.052057
0.893002, 5.352073
0.893673, 6.122479
0.893993, 0.185916
0.894851, 0.398101
0.894987, -3.642963
0.895143, 3.559601
0.897107, -2.503668
0.897915, -6.186813
0.900244, -4.419787
0.900323, 0.795385
0.901974, 0.319584
0.903878, -1.178177
0.906005, 2.080722
0.906872, -0.286431
0.906929, -3.449274
0.908667, -4.636195
0.909409, -1.851375
0.909559, -0.025027
0.910636, -4.745187
0.910707, 0.075533
0.912711, -3.732436
0.912961, 1.172114
0.913362, 2.276157
0.914005, 2.983834
0.914229, -0.378053
0.914298, 5.251290
0.915857, 1.854681
0.916403, -6.331324
0.917316, -3.614438
0.918631, 0.728140
0.920351, -1.848863
0.920453, 0.471768
0.922314, 5.818171
0.922629, 0.384437
0.922956, 5.184240
0.923252, -4.423916
0.923862, 4.952004
0.924005, -4.759961
0.924234, 7.098065
0.924353, 2.151871
0.925905, 8.624857
0.926672, 5.457816
0.927187, 6.107232
0.927391, 8.993374
0.927875, -5.476578
0.928598, 7.672232
0.928974, 1.019257
0.932063, -0.718770
0.932884, 4.384055
0.933470, 1.217703
0.936699, 3.295579
0.937686, 2.929610
0.938643, 2.261651
0.939320, -4.508456
0.939782, 0.775771
0.940436, -0.169672
0.940553, -3.068630
0.941443, -1.604620
0.941731, 0.857586
0.942446, 1.191887
0.942523, -1.431339
0.944172, 2.111175
0.944337, -2.776553
0.946687, 0.895748
0.946998, 5.081144
0.947584, 4.960441
0.947694, -1.050404
0.947741, 0.540209
0.948461, 0.509654
0.949111, 0.861710
0.949599, 6.919280
0.949877, 7.811126
0.950829, 5.242587
0.951970, -0.732061
0.952166, 0.332519
0.952472, -1.837193
0.952717, -2.500507
0.953522, -4.109231
0.953659, -2.399723
0.954075, 1.975148
0.954342, -1.776844
0.955089, 6.956645
0.955199, 2.900769
0.957464, -1.415833
0.958581, 5.396966
0.958683, 1.882185
0.958803, 5.916914
0.959031, -2.530223
0.959946, 0.665605
0.961488, -1.066501
0.962379, -1.429278
